scenario_id,source_pdf,life_insured_age,premium_payment_term_number,premium_payment_term_label,income_start_year,source_initial_total_planned_premium,source_initial_annualised_income,policy_year,attained_age_source,current_premium_schedule,current_policy_value,current_policy_value_less_surrender_charge_and_unvested_booster,current_surrender_value_floor,current_surrender_value,current_monthly_income_annualized,current_death_benefit,guaranteed_policy_value,guaranteed_surrender_value,guaranteed_monthly_income_annualized,current_effect_of_deductions,current_value_of_premiums,deduction_current_surrender_value
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,1,47,100000,94902,78902,80000,80000,0,105000,89144,80000,0,26350,106350,80000
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,2,48,0,98540,81080,80000,81080,869,104131,87757,80000,0,31144,113103,81959
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,3,49,0,102367,83447,80000,83447,898,103233,86376,80000,0,35035,120285,85251
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,4,50,0,102491,82111,80000,82111,4704,102491,85000,80000,0,39217,127923,88706
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,5,51,0,102508,80668,80000,80668,4815,102508,83629,80000,0,43784,136047,92262
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,6,52,0,102522,79222,80000,80000,4819,102522,82262,80000,0,47988,144685,96697
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,7,53,0,102536,77776,80000,80000,4820,102536,80901,80000,0,51970,153873,101903
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,8,54,0,102549,80329,80000,80329,4821,102549,79544,80000,0,56100,163644,107544
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,9,55,0,102563,82883,80000,82883,4822,102563,78193,80000,0,58520,174035,115516
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,10,56,0,102577,85936,80000,85936,4823,102577,76846,80000,0,60991,185087,124096
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,11,57,0,102590,88428,79000,88428,4823,102590,75504,79000,0,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,12,58,0,102604,88471,78000,88471,4824,102604,74167,78000,0,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,13,59,0,102618,88602,77000,88602,4825,102618,72834,77000,0,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,14,60,0,102631,88776,76000,88776,4826,102631,71507,76000,0,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,15,61,0,102645,88950,75000,88950,4827,102645,70184,75000,0,95342,251804,156462
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,16,62,0,102659,89081,74000,89081,4827,102659,68866,74000,0,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,17,63,0,102673,89357,73000,89357,4828,102673,67553,73000,0,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,18,64,0,102686,89532,72000,89532,4829,102686,66244,72000,0,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,19,65,0,102700,89823,71000,89823,4830,102700,64940,71000,0,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,20,66,0,102714,89953,70000,89953,4830,102714,63641,70000,0,152678,342570,189893
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,21,67,0,102727,90171,69000,90171,4831,102727,62347,69000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,22,68,0,102741,90477,68000,90477,4832,102741,61057,68000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,23,69,0,102755,90870,67000,90870,4833,102755,59771,67000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,24,70,0,102768,91351,66000,91351,4834,102768,58491,66000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,25,71,0,102782,91920,65000,91920,4834,102782,57215,65000,0,238372,466055,227683
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,26,72,0,102830,93019,64000,93019,5905,102830,57009,64000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,27,73,0,102842,94082,63000,94082,5943,102842,56804,63000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,28,74,0,102853,95144,62000,95144,5945,102853,56600,62000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,29,75,0,102864,96207,61000,96207,5945,102864,56397,61000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,30,76,0,102875,102875,60000,102875,5946,102875,56194,60000,0,350056,634052,283996
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,31,77,0,102886,102886,60000,102886,5946,102886,55992,60000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,32,78,0,102898,102898,60000,102898,5947,102898,55791,60000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,33,79,0,102909,102909,60000,102909,5948,102909,55590,60000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,34,80,0,102920,102920,60000,102920,5948,102920,55391,60000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,35,81,0,102931,102931,60000,102931,5949,102931,55191,60000,0,528416,862606,334189
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,36,82,0,102942,102942,60000,102942,5950,102942,54993,60000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,37,83,0,102953,102953,60000,102953,5950,102953,54795,60000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,38,84,0,102964,102964,60000,102964,5951,102964,54599,60000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,39,85,0,102975,102975,60000,102975,5952,102975,54402,60000,,,,
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,40,86,0,102986,102986,60000,102986,5952,102986,54207,60000,0,783928,1173545,389617
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,1,Single Premium,2,100000,869,41,87,0,102997,102997,60000,102997,5953,102997,54012,60000,,,,
