scenario_id,source_pdf,source_pdf_count,life_insured_age,premium_payment_term,premium_payment_term_number,premium_payment_term_label,income_start_year,income_start_age,initial_annualised_premium,initial_total_planned_premium,initial_target_monthly_income,initial_annualised_income,annualised_income_per_100k_total_premium,monthly_income_per_100k_total_premium,face_amount,current_illustrated_yield_pct_pa,guaranteed_illustrated_yield_pct_pa,total_distribution_cost,total_distribution_cost_pct,current_row_count,guaranteed_row_count,income_row_count,deduction_row_count
SRC_A46_SP_PY2_1,PI_20260702205133741.pdf;PI_20260702211711162.pdf,2,46,single,1,Single Premium,2,48,100000,100000,72.416667,869,869,72.41666666666667,100000,4.53,-1.26,10322,10.32,79,79,24,16
SRC_A46_SP_PY4_2,PI_20260702205419811.pdf,1,46,single,1,Single Premium,4,50,100000,100000,398.75,4785,4785,398.75,100000,4.55,-1.26,10322,10.32,79,79,24,16
SRC_A56_SP_PY4_3,PI_20260702215817873.pdf,1,56,single,1,Single Premium,4,60,100000,100000,398.75,4785,4785,398.75,100000,4.55,-1.26,10322,10.32,69,69,24,16
SRC_A46_SP_PY5_4,PI_20260702210350249.pdf,1,46,single,1,Single Premium,5,51,100000,100000,422.583333,5071,5071,422.5833333333333,100000,4.6,-1.26,10322,10.32,79,79,24,16
SRC_A46_SP_PY6_5,PI_20260702210953719.pdf,1,46,single,1,Single Premium,6,52,100000,100000,447.916667,5375,5375,447.9166666666667,100000,4.65,-1.26,10322,10.32,79,79,24,16
SRC_A46_SP_PY7_6,PI_20260702211008104.pdf,1,46,single,1,Single Premium,7,53,100000,100000,474.75,5697,5697,474.75,100000,4.69,-1.26,10322,10.32,79,79,24,16
SRC_A46_SP_PY8_7,PI_20260702211043196.pdf,1,46,single,1,Single Premium,8,54,100000,100000,503.166667,6038,6038,503.1666666666667,100000,4.73,-1.26,10322,10.32,79,79,24,16
SRC_A46_SP_PY9_8,PI_20260702211128980.pdf,1,46,single,1,Single Premium,9,55,100000,100000,533.25,6399,6399.000000000001,533.25,100000,4.77,-1.26,10322,10.32,79,79,24,16
SRC_A56_SP_PY9_9,PI_20260702215830730.pdf,1,56,single,1,Single Premium,9,65,100000,100000,533.25,6399,6399.000000000001,533.25,100000,4.77,-1.26,10322,10.32,69,69,24,16
SRC_A56_SP_PY14_10,PI_20260702215858010.pdf,1,56,single,1,Single Premium,14,70,100000,100000,713.083333,8557,8557,713.0833333333334,100000,4.93,-1.26,10322,10.32,69,69,24,16
SRC_A46_2PAY_PY4_11,PI_20260702211357295.pdf,1,46,2,2,2 Years,4,50,100000,200000,771.166667,9254,4627,385.5833333333333,200000,4.5,-1.28,20644,10.32,79,79,24,16
SRC_A46_2PAY_PY5_12,PI_20260702211345146.pdf,1,46,2,2,2 Years,5,51,100000,200000,817.333333,9808,4904,408.66666666666674,200000,4.56,-1.28,20644,10.32,79,79,24,16
SRC_A46_2PAY_PY6_13,PI_20260702211332056.pdf,1,46,2,2,2 Years,6,52,100000,200000,866.25,10395,5197.5,433.125,200000,4.61,-1.28,20644,10.32,79,79,24,16
SRC_A46_2PAY_PY7_14,PI_20260702211319565.pdf,1,46,2,2,2 Years,7,53,100000,200000,918.166667,11018,5509,459.0833333333333,200000,4.65,-1.28,20644,10.32,79,79,24,16
SRC_A46_2PAY_PY8_15,PI_20260702211307674.pdf,1,46,2,2,2 Years,8,54,100000,200000,973.083333,11677,5838.5,486.54166666666674,200000,4.69,-1.28,20644,10.32,79,79,24,16
