status,source_count,life_insured_age,target_retirement_age,premium_payment_term,income_payout_period,blocked_by_user_rule,source_pdfs
present,1,40,50,single,10,False,PI_20260611002424891.pdf
present,1,40,50,single,15,False,PI_20260611002440436.pdf
present,1,40,50,single,20,False,PI_20260611002451629.pdf
present,1,40,50,single,lifetime,False,PI_20260611002504519.pdf
present,1,40,50,5,10,False,PI_20260610232648465.pdf
present,1,40,50,5,15,False,PI_20260610232632950.pdf
present,1,40,50,5,20,False,PI_20260610232612170.pdf
present,1,40,50,5,lifetime,False,PI_20260610232704463.pdf
present,1,40,50,10,5,False,PI_20260610233205207.pdf
present,1,40,50,10,10,False,PI_20260610233226659.pdf
present,1,40,50,10,15,False,PI_20260610233239854.pdf
present,1,40,50,10,20,False,PI_20260610233253985.pdf
present,1,40,50,10,lifetime,False,PI_20260610233309125.pdf
present,1,40,55,single,10,False,PI_20260611002552100.pdf
present,1,40,55,single,15,False,PI_20260611002541387.pdf
present,1,40,55,single,20,False,PI_20260611002530509.pdf
present,1,40,55,single,lifetime,False,PI_20260611002519276.pdf
present,1,40,55,5,10,False,PI_20260610232823308.pdf
present,1,40,55,5,15,False,PI_20260610232807393.pdf
present,1,40,55,5,20,False,PI_20260610232751428.pdf
present,1,40,55,5,lifetime,False,PI_20260610232724610.pdf
present,1,40,55,10,5,False,PI_20260610233454841.pdf
present,1,40,55,10,10,False,PI_20260610233440842.pdf
present,1,40,55,10,15,False,PI_20260610233354388.pdf
present,1,40,55,10,20,False,PI_20260610233340499.pdf
present,1,40,55,10,lifetime,False,PI_20260610233326005.pdf
present,1,40,55,15,5,False,PI_20260610234026287.pdf
present,1,40,55,15,10,False,PI_20260610234039642.pdf
present,1,40,55,15,15,False,PI_20260610234053768.pdf
present,1,40,55,15,20,False,PI_20260610234111157.pdf
present,1,40,55,15,lifetime,False,PI_20260610234126203.pdf
present,1,40,60,single,10,False,PI_20260611002606265.pdf
present,1,40,60,single,15,False,PI_20260611002620428.pdf
present,1,40,60,single,20,False,PI_20260611002632784.pdf
present,1,40,60,single,lifetime,False,PI_20260611002646256.pdf
present,1,40,60,5,10,False,PI_20260610232848089.pdf
present,1,40,60,5,15,False,PI_20260610232907656.pdf
present,1,40,60,5,20,False,PI_20260610232921970.pdf
present,1,40,60,5,lifetime,False,PI_20260610232937082.pdf
present,1,40,60,10,5,False,PI_20260610233509661.pdf
present,1,40,60,10,10,False,PI_20260610233525371.pdf
present,1,40,60,10,15,False,PI_20260610233539267.pdf
present,1,40,60,10,20,False,PI_20260610233553543.pdf
present,1,40,60,10,lifetime,False,PI_20260610233607427.pdf
present,1,40,60,15,5,False,PI_20260610234353386.pdf
present,1,40,60,15,10,False,PI_20260610234336514.pdf
present,1,40,60,15,15,False,PI_20260610234319409.pdf
present,1,40,60,15,20,False,PI_20260610234200464.pdf
present,1,40,60,15,lifetime,False,PI_20260610234143902.pdf
present,1,40,60,20,5,False,PI_20260610234729319.pdf
present,1,40,60,20,10,False,PI_20260610234745453.pdf
present,1,40,60,20,15,False,PI_20260610234759378.pdf
present,1,40,60,20,20,False,PI_20260610234812822.pdf
present,1,40,60,20,lifetime,False,PI_20260610234827728.pdf
present,1,40,65,single,10,False,PI_20260611002745617.pdf
present,1,40,65,single,15,False,PI_20260611002732155.pdf
present,1,40,65,single,20,False,PI_20260611002721437.pdf
present,1,40,65,single,lifetime,False,PI_20260611002703129.pdf
present,1,40,65,5,10,False,PI_20260610232957588.pdf
present,1,40,65,5,15,False,PI_20260610233012578.pdf
present,1,40,65,5,20,False,PI_20260610233026759.pdf
present,1,40,65,5,lifetime,False,PI_20260610233042604.pdf
present,1,40,65,10,5,False,PI_20260610233726034.pdf
present,1,40,65,10,10,False,PI_20260610233711769.pdf
present,1,40,65,10,15,False,PI_20260610233655245.pdf
present,1,40,65,10,20,False,PI_20260610233640429.pdf
present,1,40,65,10,lifetime,False,PI_20260610233623014.pdf
present,1,40,65,15,5,False,PI_20260610234411907.pdf
present,1,40,65,15,10,False,PI_20260610234426141.pdf
present,1,40,65,15,15,False,PI_20260610234442077.pdf
present,1,40,65,15,20,False,PI_20260610234457507.pdf
present,1,40,65,15,lifetime,False,PI_20260610234513588.pdf
present,1,40,65,20,5,False,PI_20260610234948038.pdf
present,1,40,65,20,10,False,PI_20260610234932568.pdf
present,1,40,65,20,15,False,PI_20260610234916293.pdf
present,1,40,65,20,20,False,PI_20260610234902526.pdf
present,1,40,65,20,lifetime,False,PI_20260610234845576.pdf
present,1,40,70,single,10,False,PI_20260611002759246.pdf
present,1,40,70,single,15,False,PI_20260611002810349.pdf
present,1,40,70,single,20,False,PI_20260611002822242.pdf
present,1,40,70,single,lifetime,False,PI_20260611002836283.pdf
present,1,40,70,5,10,False,PI_20260610233143210.pdf
present,1,40,70,5,15,False,PI_20260610233128096.pdf
present,1,40,70,5,20,False,PI_20260610233113456.pdf
present,1,40,70,5,lifetime,False,PI_20260610233100050.pdf
present,1,40,70,10,5,False,PI_20260610233742614.pdf
present,1,40,70,10,10,False,PI_20260610233757093.pdf
present,1,40,70,10,15,False,PI_20260610233811472.pdf
present,1,40,70,10,20,False,PI_20260610233915893.pdf
present,1,40,70,10,lifetime,False,PI_20260610233951518.pdf
present,1,40,70,15,5,False,PI_20260610234639073.pdf
present,1,40,70,15,10,False,PI_20260610234622503.pdf
present,1,40,70,15,15,False,PI_20260610234604354.pdf
present,1,40,70,15,20,False,PI_20260610234548480.pdf
present,1,40,70,15,lifetime,False,PI_20260610234533727.pdf
duplicate,2,40,70,20,5,False,PI_20260610235003364.pdf;RRP missing/PI_20260611005639488.pdf
present,1,40,70,20,10,False,RRP missing/PI_20260611005652260.pdf
present,1,40,70,20,15,False,RRP missing/PI_20260611005705183.pdf
present,1,40,70,20,20,False,RRP missing/PI_20260611005719222.pdf
present,1,40,70,20,lifetime,False,RRP missing/PI_20260611005734318.pdf
present,1,45,50,single,10,False,PI_20260611001849014.pdf
present,1,45,50,single,15,False,PI_20260611001900918.pdf
present,1,45,50,single,20,False,PI_20260611001912358.pdf
present,1,45,50,single,lifetime,False,PI_20260611001924643.pdf
present,1,45,55,single,10,False,PI_20260611002047138.pdf
present,1,45,55,single,15,False,PI_20260611002032772.pdf
present,1,45,55,single,20,False,PI_20260611002020560.pdf
present,1,45,55,single,lifetime,False,PI_20260611002007234.pdf
present,1,45,55,5,10,False,PI_20260610235108912.pdf
present,1,45,55,5,15,False,PI_20260610235128612.pdf
