life_insured_age,gender,smoker_status,target_retirement_age,premium_payment_term,income_payout_period,guaranteed_monthly_income_basis,estimation_method,anchor_ages,proxy_slope_keys,premium_rate_per_10_gmi,estimated_annual_premium_for_gmi_1000,estimated_single_premium_for_gmi_1000,estimated_total_premiums_paid_for_gmi_1000,cash_bonus_rate_iirr_300,cash_bonus_rate_iirr_425,estimated_non_guaranteed_monthly_income_iirr_300_for_gmi_1000,estimated_non_guaranteed_monthly_income_iirr_425_for_gmi_1000,estimated_total_monthly_income_iirr_300_for_gmi_1000,estimated_total_monthly_income_iirr_425_for_gmi_1000,estimated_total_benefits_iirr_300_for_gmi_1000,estimated_total_benefits_iirr_425_for_gmi_1000,estimated_total_illustrated_yield_maturity_iirr_300_pct_pa,estimated_total_illustrated_yield_maturity_iirr_425_pct_pa,source_pdfs
40,Male,Non-Smoker,50,single,10,1000,source_exact,40;45,,1128.93,,112893.0,112893.0,0.18725,0.42325,187.25,423.25,1187.25,1423.25,142470.0,170790.0,1.56,2.81,PI_20260611002424891.pdf;PI_20260611001849014.pdf
40,Male,Non-Smoker,50,single,15,1000,source_exact,40;45,,1676.87,,167687.0,167687.0,0.24741,0.53783,247.41,537.83,1247.41,1537.83,224533.0,276809.0,1.69,2.94,PI_20260611002440436.pdf;PI_20260611001900918.pdf
40,Male,Non-Smoker,50,single,20,1000,source_exact,40;45,,2213.17,,221317.0,221317.0,0.32575,0.67616,325.75,676.16,1325.75,1676.16,318180.0,402278.0,1.85,3.1,PI_20260611002451629.pdf;PI_20260611001912358.pdf
40,Male,Non-Smoker,50,single,lifetime,1000,source_exact,40;45,,5126.14,,512614.0,512614.0,0.59,1.29816,590.0,1298.16,1590.0,2298.16,,,,,PI_20260611002504519.pdf;PI_20260611001924643.pdf
40,Male,Non-Smoker,50,5,10,1000,source_exact,40,,227.71,22771.0,,113855.0,0.10425,0.29475,104.25,294.75,1104.25,1294.75,132510.0,155370.0,1.17,2.42,PI_20260610232648465.pdf
40,Male,Non-Smoker,50,5,15,1000,source_exact,40,,338.1,33810.0,,169050.0,0.16066,0.39816,160.66,398.16,1160.66,1398.16,208918.0,251668.0,1.38,2.63,PI_20260610232632950.pdf
40,Male,Non-Smoker,50,5,20,1000,source_exact,40,,446.13,44613.0,,223065.0,0.21975,0.50816,219.75,508.16,1219.75,1508.16,292740.0,361958.0,1.53,2.78,PI_20260610232612170.pdf
40,Male,Non-Smoker,50,5,lifetime,1000,source_exact,40,,1036.02,103602.0,,518010.0,0.44733,1.05383,447.33,1053.83,1447.33,2053.83,,,,,PI_20260610232704463.pdf
40,Male,Non-Smoker,50,10,5,1000,source_exact,40,,58.0701,5807.01,,58070.1,0.0,0.097,0.0,97.0,1000.0,1097.0,60000.0,65820.0,0.4,1.56,PI_20260610233205207.pdf
40,Male,Non-Smoker,50,10,10,1000,source_exact,40,,115.02,11502.0,,115020.0,0.0565,0.20241,56.5,202.41,1056.5,1202.41,126780.0,144289.0,0.92,2.17,PI_20260610233226659.pdf
40,Male,Non-Smoker,50,10,15,1000,source_exact,40,,170.72,17072.0,,170720.0,0.1065,0.29608,106.5,296.08,1106.5,1296.08,199170.0,233294.0,1.19,2.44,PI_20260610233239854.pdf
40,Male,Non-Smoker,50,10,20,1000,source_exact,40,,225.3901,22539.01,,225390.1,0.14041,0.37383,140.41,373.83,1140.41,1373.83,273698.0,329719.0,1.27,2.52,PI_20260610233253985.pdf
40,Male,Non-Smoker,50,10,lifetime,1000,source_exact,40,,523.7501,52375.01,,523750.1,0.28466,0.79116,284.66,791.16,1284.66,1791.16,,,,,PI_20260610233309125.pdf
40,Male,Non-Smoker,55,single,10,1000,source_exact,40;45,,1106.46,,110646.0,110646.0,0.37616,0.75141,376.16,751.41,1376.16,1751.41,165139.0,210169.0,2.02,3.27,PI_20260611002552100.pdf;PI_20260611002047138.pdf
40,Male,Non-Smoker,55,single,15,1000,source_exact,40;45,,1644.53,,164453.0,164453.0,0.459,0.90566,459.0,905.66,1459.0,1905.66,262620.0,343018.0,2.11,3.36,PI_20260611002541387.pdf;PI_20260611002032772.pdf
40,Male,Non-Smoker,55,single,20,1000,source_exact,40;45,,2116.73,,211673.0,211673.0,0.50933,1.02466,509.33,1024.66,1509.33,2024.66,362239.0,485918.0,2.2,3.45,PI_20260611002530509.pdf;PI_20260611002020560.pdf
40,Male,Non-Smoker,55,single,lifetime,1000,source_exact,40;45,,4563.57,,456357.0,456357.0,0.8675,1.78958,867.5,1789.58,1867.5,2789.58,,,,,PI_20260611002519276.pdf;PI_20260611002007234.pdf
40,Male,Non-Smoker,55,5,10,1000,source_exact,40;45,,223.12,22312.0,,111560.0,0.31566,0.63658,315.66,636.58,1315.66,1636.58,157879.0,196389.0,1.95,3.2,PI_20260610232823308.pdf;PI_20260610235108912.pdf
40,Male,Non-Smoker,55,5,15,1000,source_exact,40;45,,331.08,33108.0,,165540.0,0.40175,0.79225,401.75,792.25,1401.75,1792.25,252315.0,322605.0,2.09,3.34,PI_20260610232807393.pdf;PI_20260610235128612.pdf
