scenario_id,policy_year,source_attained_age,current_premium_schedule,current_policy_value,current_policy_value_less_surrender_charge_and_unvested_booster,current_surrender_value_floor,current_surrender_value,current_monthly_income_annualized,current_death_benefit,guaranteed_policy_value,guaranteed_surrender_value,guaranteed_monthly_income_annualized,current_effect_of_deductions,current_value_of_premiums,deduction_current_surrender_value
SII-001,1,47,100000.0,94902.0,78902.0,80000.0,80000.0,0.0,105000.0,89144.0,80000.0,0.0,26350.0,106350.0,80000.0
SII-001,2,48,0.0,98540.0,81080.0,80000.0,81080.0,869.0,104131.0,87757.0,80000.0,0.0,31144.0,113103.0,81959.0
SII-001,3,49,0.0,102367.0,83447.0,80000.0,83447.0,898.0,103233.0,86376.0,80000.0,0.0,35035.0,120285.0,85251.0
SII-001,4,50,0.0,102491.0,82111.0,80000.0,82111.0,4704.0,102491.0,85000.0,80000.0,0.0,39217.0,127923.0,88706.0
SII-001,5,51,0.0,102508.0,80668.0,80000.0,80668.0,4815.0,102508.0,83629.0,80000.0,0.0,43784.0,136047.0,92262.0
SII-001,6,52,0.0,102522.0,79222.0,80000.0,80000.0,4819.0,102522.0,82262.0,80000.0,0.0,47988.0,144685.0,96697.0
SII-001,7,53,0.0,102536.0,77776.0,80000.0,80000.0,4820.0,102536.0,80901.0,80000.0,0.0,51970.0,153873.0,101903.0
SII-001,8,54,0.0,102549.0,80329.0,80000.0,80329.0,4821.0,102549.0,79544.0,80000.0,0.0,56100.0,163644.0,107544.0
SII-001,9,55,0.0,102563.0,82883.0,80000.0,82883.0,4822.0,102563.0,78193.0,80000.0,0.0,58520.0,174035.0,115516.0
SII-001,10,56,0.0,102577.0,85936.0,80000.0,85936.0,4823.0,102577.0,76846.0,80000.0,0.0,60991.0,185087.0,124096.0
SII-001,11,57,0.0,102590.0,88428.0,79000.0,88428.0,4823.0,102590.0,75504.0,79000.0,0.0,,,
SII-001,12,58,0.0,102604.0,88471.0,78000.0,88471.0,4824.0,102604.0,74167.0,78000.0,0.0,,,
SII-001,13,59,0.0,102618.0,88602.0,77000.0,88602.0,4825.0,102618.0,72834.0,77000.0,0.0,,,
SII-001,14,60,0.0,102631.0,88776.0,76000.0,88776.0,4826.0,102631.0,71507.0,76000.0,0.0,,,
SII-001,15,61,0.0,102645.0,88950.0,75000.0,88950.0,4827.0,102645.0,70184.0,75000.0,0.0,95342.0,251804.0,156462.0
SII-001,16,62,0.0,102659.0,89081.0,74000.0,89081.0,4827.0,102659.0,68866.0,74000.0,0.0,,,
SII-001,17,63,0.0,102673.0,89357.0,73000.0,89357.0,4828.0,102673.0,67553.0,73000.0,0.0,,,
SII-001,18,64,0.0,102686.0,89532.0,72000.0,89532.0,4829.0,102686.0,66244.0,72000.0,0.0,,,
SII-001,19,65,0.0,102700.0,89823.0,71000.0,89823.0,4830.0,102700.0,64940.0,71000.0,0.0,,,
SII-001,20,66,0.0,102714.0,89953.0,70000.0,89953.0,4830.0,102714.0,63641.0,70000.0,0.0,152678.0,342570.0,189893.0
SII-001,21,67,0.0,102727.0,90171.0,69000.0,90171.0,4831.0,102727.0,62347.0,69000.0,,,,
SII-001,22,68,0.0,102741.0,90477.0,68000.0,90477.0,4832.0,102741.0,61057.0,68000.0,,,,
SII-001,23,69,0.0,102755.0,90870.0,67000.0,90870.0,4833.0,102755.0,59771.0,67000.0,,,,
SII-001,24,70,0.0,102768.0,91351.0,66000.0,91351.0,4834.0,102768.0,58491.0,66000.0,,,,
SII-001,25,71,0.0,102782.0,91920.0,65000.0,91920.0,4834.0,102782.0,57215.0,65000.0,0.0,238372.0,466055.0,227683.0
SII-001,26,72,0.0,102830.0,93019.0,64000.0,93019.0,5905.0,102830.0,57009.0,64000.0,,,,
