scenario_id,source_pdf,life_insured_age,premium_payment_term,premium_payment_term_number,income_start_year,initial_planned_premium,initial_total_planned_premium,initial_monthly_income_annualized,initial_monthly_income_annualized_per_100k_total_premium,initial_monthly_income_per_100k_total_premium,current_illustrated_yield_pct_pa,guaranteed_illustrated_yield_pct_pa,current_row_count,guaranteed_row_count,income_row_count,deduction_row_count,scenario_key,deduction_table_income_option
SII-001,PI_20260702205133741.pdf;PI_20260702211711162.pdf,46,single,1,2,100000.0,100000.0,869.0,869.0,72.41666666666667,4.53,-1.26,79,79,24,16,a46-t1-s02-p100000,Accumulated
SII-002,PI_20260702205419811.pdf,46,single,1,4,100000.0,100000.0,4785.0,4785.0,398.75,4.55,-1.26,79,79,24,16,a46-t1-s04-p100000,Accumulated
SII-003,PI_20260702215817873.pdf,56,single,1,4,100000.0,100000.0,4785.0,4785.0,398.75,4.55,-1.26,69,69,24,16,a56-t1-s04-p100000,Accumulated
SII-004,PI_20260702210350249.pdf,46,single,1,5,100000.0,100000.0,5071.0,5071.0,422.5833333333333,4.6,-1.26,79,79,24,16,a46-t1-s05-p100000,Accumulated
SII-005,PI_20260702210953719.pdf,46,single,1,6,100000.0,100000.0,5375.0,5375.0,447.9166666666667,4.65,-1.26,79,79,24,16,a46-t1-s06-p100000,Accumulated
SII-006,PI_20260702211008104.pdf,46,single,1,7,100000.0,100000.0,5697.0,5697.0,474.75,4.69,-1.26,79,79,24,16,a46-t1-s07-p100000,Accumulated
SII-007,PI_20260702211043196.pdf,46,single,1,8,100000.0,100000.0,6038.0,6038.0,503.1666666666667,4.73,-1.26,79,79,24,16,a46-t1-s08-p100000,Accumulated
SII-008,PI_20260702211128980.pdf,46,single,1,9,100000.0,100000.0,6399.0,6399.000000000001,533.25,4.77,-1.26,79,79,24,16,a46-t1-s09-p100000,Accumulated
SII-009,PI_20260702215830730.pdf,56,single,1,9,100000.0,100000.0,6399.0,6399.000000000001,533.25,4.77,-1.26,69,69,24,16,a56-t1-s09-p100000,Accumulated
SII-010,PI_20260702215858010.pdf,56,single,1,14,100000.0,100000.0,8557.0,8557.0,713.0833333333334,4.93,-1.26,69,69,24,16,a56-t1-s14-p100000,Accumulated
